Landscape,id,SurveyYear,WBI,HHwealth,Village,Lat,Long,vlgLat,vlgLong,Arrival,Livelihood1,Livelihood2,Livelihood3,Livelihood4,Gender,age,Ethnicity,indig,HHsize,BenefPa,BenefProject,HhTypeControl,female
lac_tele,5600,2018,.258167952299118,124062.5,epena,1.35362708568573,17.44928169250488,1.353627114486638,17.4492825207817,1992,employee,business,,,female,26,bambomba,0,2,1,1,0,1
lac_tele,5554,2018,.188891589641571,113625,epena,1.35362708568573,17.44928169250488,1.353627114486638,17.4492825207817,1965,fishing,agriculture,,,female,63,bambomba,0,2,1,1,0,1
lac_tele,169,2015,.5683289766311646,404900,epena,1.35362708568573,17.44928169250488,1.353627114486638,17.4492825207817,1995,agriculture,livestock,fishing,,male,41,Bakolou,1,6,,,,0
lac_tele,151,2015,.5309898257255554,206500,epena,1.35362708568573,17.44928169250488,1.353627114486638,17.4492825207817,,agriculture,employee,,,female,42,Bambomba,0,3,,,,1
lac_tele,5648,2018,.2752299308776855,409152.78125,epena,1.35362708568573,17.44928169250488,1.353627114486638,17.4492825207817,2001,agriculture,fishing,,,male,44,bambomba,0,7,1,1,0,0
lac_tele,167,2015,.5934740900993347,272300,epena,1.35362708568573,17.44928169250488,1.353627114486638,17.4492825207817,2003,agriculture,fishing,,,female,48,Angolais,0,7,,,,1
lac_tele,5643,2018,.2777710556983948,2430875,epena,1.35362708568573,17.44928169250488,1.353627114486638,17.4492825207817,1961,withoutactivity,,,,female,57,bambomba,0,2,0,0,0,1
lac_tele,177,2015,.5912875533103943,247550,epena,1.35362708568573,17.44928169250488,1.353627114486638,17.4492825207817,2004,agriculture,business,fishing,,female,60,Bambomba,0,3,,,,1
lac_tele,150,2015,.3551425635814667,174050,epena,1.35362708568573,17.44928169250488,1.353627114486638,17.4492825207817,,,,,,female,58,Mbondjo,0,1,,,,1
lac_tele,5405,2018,.3066917061805725,533637.5,epena,1.35362708568573,17.44928169250488,1.353627114486638,17.4492825207817,1973,agriculture,,,,female,45,bambomba,0,11,1,0,0,1
lac_tele,5646,2018,.1184051334857941,175750,epena,1.35362708568573,17.44928169250488,1.353627114486638,17.4492825207817,1973,fishing,agriculture,hunt,,male,45,bambomba,0,9,0,0,1,0
lac_tele,5638,2018,.2464303225278854,52062.5,epena,1.35362708568573,17.44928169250488,1.353627114486638,17.4492825207817,2000,picking,agriculture,business,,male,48,autochtone,1,12,1,1,0,0
lac_tele,175,2015,.734589159488678,411400,epena,1.35362708568573,17.44928169250488,1.353627114486638,17.4492825207817,2003,agriculture,fishing,,,male,61,Bambomba,0,4,,,,0
lac_tele,5406,2018,.2345111519098282,300500,epena,1.35362708568573,17.44928169250488,1.353627114486638,17.4492825207817,1981,agriculture,fishing,,,male,37,bambomba,0,6,0,0,0,0
lac_tele,5455,2018,.29023477435112,2526562.5,epena,1.35362708568573,17.44928169250488,1.353627114486638,17.4492825207817,2004,agriculture,fishing,picking,,female,29,babole,0,4,0,0,0,1
lac_tele,165,2015,.5907829403877258,347600,epena,1.35362708568573,17.44928169250488,1.353627114486638,17.4492825207817,1950,agriculture,hunt,livestock,fishing,male,34,Bambomba,0,8,,,,0
lac_tele,5645,2018,.288903683423996,445937.5,epena,1.35362708568573,17.44928169250488,1.353627114486638,17.4492825207817,1988,agriculture,fishing,hunt,,male,48,bambomba,0,5,0,1,0,0
lac_tele,154,2015,.6208897233009338,448150,epena,1.35362708568573,17.44928169250488,1.353627114486638,17.4492825207817,,agriculture,hunt,fishing,,male,53,Bambomba,0,7,,,,0
lac_tele,156,2015,.6483895778656006,298750,epena,1.35362708568573,17.44928169250488,1.353627114486638,17.4492825207817,,agriculture,fishing,,,female,69,Bambomba,0,7,,,,1
lac_tele,173,2015,.5351946949958801,579350,epena,1.35362708568573,17.44928169250488,1.353627114486638,17.4492825207817,2005,agriculture,hunt,fishing,,male,49,Nzobo,0,8,,,,0
lac_tele,176,2015,.8090152144432068,1544950,epena,1.35362708568573,17.44928169250488,1.353627114486638,17.4492825207817,,agriculture,business,employee,,male,48,Bambomba,0,7,,,,0
lac_tele,168,2015,.6220670938491821,289400,epena,1.35362708568573,17.44928169250488,1.353627114486638,17.4492825207817,1977,agriculture,hunt,fishing,,male,31,batanga,0,5,,,,0
lac_tele,164,2015,.5959128737449646,307400,epena,1.35362708568573,17.44928169250488,1.353627114486638,17.4492825207817,2005,agriculture,business,fishing,,female,41,Bambomba,0,4,,,,1
lac_tele,5407,2018,.3633833825588226,2558000,epena,1.35362708568573,17.44928169250488,1.353627114486638,17.4492825207817,1996,fishing,agriculture,,,male,46,bangala,0,4,1,1,0,0
lac_tele,5601,2018,.290295273065567,4619437.5,epena,1.35362708568573,17.44928169250488,1.353627114486638,17.4492825207817,1998,fishing,agriculture,alcoholicdistillation,,female,73,bambomba,0,7,0,0,1,1
ituri,1319,2015,.6607083082199097,,mandima,1.35364,29.07482,1.3497698,29.074991,,agriculture,,,,man,54,bantou,0,7,,,1,0
ituri,1305,2015,.4211606979370117,,mandima,1.35365,29.07175,1.3497698,29.074991,,agriculture,,,,man,30,bantou,0,5,,,1,0
ituri,306,2015,.7529119253158569,,bandisende,1.35374,28.75432,1.3578314,28.753626,,agriculture,,,,man,35,bantou,0,6,,,0,0
ituri,1975,2017,.4532797038555145,176.3865356445313,mania,1.353768,29.151007,1.3505521,29.155651,1980,agriculture,official,fishing,,man,37,bantou,0,12,0,1,0,0
ituri,1976,2017,.4437345862388611,155.7766265869141,mania,1.353768,29.151007,1.3505521,29.155651,1964,housekeeping,,,,man,68,bantou,0,1,,1,0,0
ituri,1977,2017,.5800646543502808,163.4265289306641,mania,1.353768,29.151007,1.3505521,29.155651,2004,agriculture,alcoholicdistillation,,,man,29,bantou,0,9,,0,0,0
ituri,1978,2017,.3294983208179474,68.63543701171875,mania,1.353768,29.151007,1.3505521,29.155651,2000,smallbusiness,agriculture,alcoholicdistillation,,man,27,bantou,0,7,,0,0,0
lac_tele,6233,2021,.4902845621109009,112600,epena,1.353939890861511,17.45156860351563,1.353627114486638,17.4492825207817,1958,smallbusiness,agriculture,,,female,79,bambomba,0,2,0,1,0,1
