landscape,surveyyear,id,nr,nrcollect
lac_tele,2018,5470,fish,0
lac_tele,2018,5470,marantacea,0
lac_tele,2018,5470,gnetum,0
lac_tele,2018,5470,bushmeat,0
lac_tele,2018,5471,marantacea,1
lac_tele,2018,5471,firewood,0
lac_tele,2018,5471,bushmeat,0
lac_tele,2018,5471,gnetum,0
lac_tele,2018,5471,fish,0
lac_tele,2018,5472,gnetum,0
lac_tele,2018,5472,bushmeat,0
lac_tele,2018,5472,fish,0
lac_tele,2018,5472,marantacea,0
lac_tele,2018,5472,firewood,0
lac_tele,2018,5473,firewood,0
lac_tele,2018,5473,gnetum,0
lac_tele,2018,5473,fish,0
lac_tele,2018,5473,bushmeat,0
lac_tele,2018,5473,marantacea,0
lac_tele,2018,5474,fish,0
lac_tele,2018,5474,gnetum,0
lac_tele,2018,5474,firewood,0
lac_tele,2018,5474,marantacea,0
lac_tele,2018,5474,bushmeat,0
lac_tele,2018,5475,marantacea,0
lac_tele,2018,5475,firewood,0
lac_tele,2018,5475,fish,6
lac_tele,2018,5475,gnetum,0
lac_tele,2018,5475,bushmeat,0
lac_tele,2018,5476,marantacea,0
lac_tele,2018,5476,bushmeat,0
lac_tele,2018,5476,gnetum,0
lac_tele,2018,5476,firewood,0
lac_tele,2018,5476,fish,0
lac_tele,2018,5477,firewood,0
lac_tele,2018,5477,fish,6
lac_tele,2018,5477,marantacea,0
lac_tele,2018,5477,gnetum,0
lac_tele,2018,5477,bushmeat,0
lac_tele,2018,5478,marantacea,0
lac_tele,2018,5478,bushmeat,0
lac_tele,2018,5478,gnetum,0
lac_tele,2018,5478,firewood,0
lac_tele,2018,5478,fish,7
lac_tele,2018,5479,fish,7
lac_tele,2018,5479,marantacea,0
lac_tele,2018,5479,bushmeat,0
lac_tele,2018,5479,gnetum,0
lac_tele,2018,5479,firewood,0
lac_tele,2018,5480,firewood,0
lac_tele,2018,5480,fish,0
lac_tele,2018,5480,bushmeat,0
lac_tele,2018,5480,marantacea,0
lac_tele,2018,5480,gnetum,0
lac_tele,2018,5481,gnetum,0
lac_tele,2018,5481,marantacea,0
lac_tele,2018,5481,fish,0
lac_tele,2018,5481,bushmeat,0
lac_tele,2018,5481,firewood,0
lac_tele,2018,5482,bushmeat,0
lac_tele,2018,5482,marantacea,0
lac_tele,2018,5482,firewood,1
lac_tele,2018,5482,fish,4
lac_tele,2018,5482,gnetum,0
lac_tele,2018,5483,fish,7
lac_tele,2018,5483,firewood,0
lac_tele,2018,5483,gnetum,0
lac_tele,2018,5483,bushmeat,0
lac_tele,2018,5483,marantacea,0
lac_tele,2018,5484,fish,6
lac_tele,2018,5484,firewood,0
lac_tele,2018,5484,marantacea,0
lac_tele,2018,5484,gnetum,0
lac_tele,2018,5484,bushmeat,0
lac_tele,2018,5485,bushmeat,0
lac_tele,2018,5485,fish,4
lac_tele,2018,5485,firewood,5
lac_tele,2018,5485,gnetum,0
lac_tele,2018,5485,marantacea,3
lac_tele,2018,5486,fish,4
lac_tele,2018,5486,bushmeat,0
lac_tele,2018,5486,firewood,0
lac_tele,2018,5486,marantacea,0
lac_tele,2018,5486,gnetum,3
lac_tele,2018,5487,marantacea,0
lac_tele,2018,5487,gnetum,0
lac_tele,2018,5487,fish,2
lac_tele,2018,5487,firewood,1
lac_tele,2018,5487,bushmeat,0
lac_tele,2018,5488,bushmeat,0
lac_tele,2018,5488,gnetum,0
lac_tele,2018,5488,fish,0
lac_tele,2018,5488,firewood,2
lac_tele,2018,5488,marantacea,0
lac_tele,2018,5489,bushmeat,0
lac_tele,2018,5489,marantacea,0
lac_tele,2018,5489,fish,1
lac_tele,2018,5489,firewood,2
lac_tele,2018,5489,gnetum,0
lac_tele,2018,5490,firewood,2
lac_tele,2018,5490,fish,7
lac_tele,2018,5490,bushmeat,0
lac_tele,2018,5490,gnetum,2
lac_tele,2018,5490,marantacea,0
lac_tele,2018,5491,bushmeat,0
lac_tele,2018,5491,fish,7
lac_tele,2018,5491,gnetum,0
lac_tele,2018,5491,firewood,3
lac_tele,2018,5491,marantacea,0
lac_tele,2018,5492,fish,0
lac_tele,2018,5492,bushmeat,0
lac_tele,2018,5492,gnetum,0
lac_tele,2018,5492,firewood,3
lac_tele,2018,5492,marantacea,0
lac_tele,2018,5493,bushmeat,0
lac_tele,2018,5493,fish,2
lac_tele,2018,5493,marantacea,1
lac_tele,2018,5493,gnetum,2
lac_tele,2018,5493,firewood,4
lac_tele,2018,5494,bushmeat,0
lac_tele,2018,5494,gnetum,0
lac_tele,2018,5494,fish,7
lac_tele,2018,5494,marantacea,0
lac_tele,2018,5494,firewood,0
lac_tele,2018,5495,firewood,3
lac_tele,2018,5495,marantacea,1
lac_tele,2018,5495,bushmeat,0
lac_tele,2018,5495,gnetum,2
lac_tele,2018,5495,fish,7
lac_tele,2018,5496,fish,7
lac_tele,2018,5496,bushmeat,0
lac_tele,2018,5496,gnetum,1
lac_tele,2018,5496,firewood,3
lac_tele,2018,5496,marantacea,0
lac_tele,2018,5497,gnetum,0
lac_tele,2018,5497,fish,7
lac_tele,2018,5497,marantacea,0
lac_tele,2018,5497,bushmeat,0
lac_tele,2018,5497,firewood,0
lac_tele,2018,5498,marantacea,2
lac_tele,2018,5498,gnetum,3
lac_tele,2018,5498,firewood,3
lac_tele,2018,5498,bushmeat,0
lac_tele,2018,5498,fish,4
lac_tele,2018,5499,gnetum,2
lac_tele,2018,5499,fish,7
lac_tele,2018,5499,bushmeat,0
lac_tele,2018,5499,marantacea,0
lac_tele,2018,5499,firewood,3
lac_tele,2018,5500,marantacea,2
lac_tele,2018,5500,bushmeat,0
lac_tele,2018,5500,gnetum,5
lac_tele,2018,5500,fish,3
lac_tele,2018,5500,firewood,4
lac_tele,2018,5501,firewood,3
lac_tele,2018,5501,fish,6
lac_tele,2018,5501,gnetum,5
lac_tele,2018,5501,marantacea,2
lac_tele,2018,5501,bushmeat,1
lac_tele,2018,5502,marantacea,0
lac_tele,2018,5502,bushmeat,0
lac_tele,2018,5502,firewood,0
lac_tele,2018,5502,gnetum,0
lac_tele,2018,5502,fish,0
lac_tele,2018,5503,fish,6
lac_tele,2018,5503,firewood,4
lac_tele,2018,5503,bushmeat,0
lac_tele,2018,5503,gnetum,2
lac_tele,2018,5503,marantacea,0
lac_tele,2018,5504,marantacea,0
lac_tele,2018,5504,bushmeat,0
lac_tele,2018,5504,gnetum,2
lac_tele,2018,5504,fish,7
lac_tele,2018,5504,firewood,3
lac_tele,2018,5505,gnetum,3
lac_tele,2018,5505,marantacea,0
lac_tele,2018,5505,bushmeat,0
lac_tele,2018,5505,fish,7
