landscape,id,surveyyear,nr,nrcollect
ndoki,5295,2018,bushmeat,0
ndoki,5295,2018,firewood,3
ndoki,5295,2018,marantaceas,1
ndoki,5295,2018,gnetum,2
ndoki,5296,2018,liana,1
ndoki,5296,2018,gnetum,3
ndoki,5296,2018,bushmeat,2
ndoki,5296,2018,marantaceas,2
ndoki,5296,2018,firewood,4
ndoki,5297,2018,marantaceas,0
ndoki,5297,2018,bushmeat,1
ndoki,5297,2018,firewood,2
ndoki,5297,2018,liana,0
ndoki,5297,2018,gnetum,1
ndoki,5298,2018,gnetum,3
ndoki,5298,2018,liana,2
ndoki,5298,2018,firewood,5
ndoki,5298,2018,bushmeat,0
ndoki,5298,2018,marantaceas,1
ndoki,5299,2018,firewood,6
ndoki,5299,2018,gnetum,2
ndoki,5299,2018,liana,1
ndoki,5299,2018,bushmeat,1
ndoki,5299,2018,marantaceas,0
ndoki,5300,2018,gnetum,4
ndoki,5300,2018,marantaceas,7
ndoki,5300,2018,liana,0
ndoki,5300,2018,firewood,7
ndoki,5300,2018,bushmeat,0
ndoki,5301,2018,gnetum,1
ndoki,5301,2018,bushmeat,0
ndoki,5301,2018,firewood,6
ndoki,5301,2018,liana,0
ndoki,5301,2018,marantaceas,3
ndoki,5302,2018,bushmeat,0
ndoki,5302,2018,marantaceas,2
ndoki,5302,2018,liana,1
ndoki,5302,2018,gnetum,1
ndoki,5302,2018,firewood,4
ndoki,5303,2018,liana,1
ndoki,5303,2018,bushmeat,0
ndoki,5303,2018,marantaceas,1
ndoki,5303,2018,firewood,7
ndoki,5303,2018,gnetum,2
ndoki,5304,2018,bushmeat,0
ndoki,5304,2018,firewood,4
ndoki,5304,2018,gnetum,1
ndoki,5304,2018,marantaceas,0
ndoki,5304,2018,liana,0
ndoki,5305,2018,liana,1
ndoki,5305,2018,gnetum,1
ndoki,5305,2018,bushmeat,0
ndoki,5305,2018,marantaceas,0
ndoki,5305,2018,firewood,2
ndoki,5306,2018,marantaceas,0
ndoki,5306,2018,bushmeat,0
ndoki,5306,2018,firewood,1
ndoki,5306,2018,liana,0
ndoki,5306,2018,gnetum,1
ndoki,5307,2018,bushmeat,0
ndoki,5307,2018,marantaceas,0
ndoki,5307,2018,firewood,6
ndoki,5307,2018,gnetum,2
ndoki,5307,2018,liana,0
ndoki,5308,2018,bushmeat,0
ndoki,5308,2018,firewood,5
ndoki,5308,2018,marantaceas,0
ndoki,5308,2018,liana,1
ndoki,5308,2018,gnetum,1
ndoki,5309,2018,liana,0
ndoki,5309,2018,bushmeat,0
ndoki,5309,2018,gnetum,5
ndoki,5309,2018,firewood,7
ndoki,5309,2018,marantaceas,1
ndoki,5310,2018,firewood,6
ndoki,5310,2018,gnetum,4
ndoki,5310,2018,marantaceas,5
ndoki,5310,2018,liana,0
ndoki,5310,2018,bushmeat,0
ndoki,5311,2018,firewood,5
ndoki,5311,2018,bushmeat,0
ndoki,5311,2018,liana,1
ndoki,5311,2018,gnetum,1
ndoki,5311,2018,marantaceas,5
ndoki,5312,2018,marantaceas,1
ndoki,5312,2018,bushmeat,0
ndoki,5312,2018,liana,1
ndoki,5312,2018,gnetum,0
ndoki,5312,2018,firewood,6
ndoki,5313,2018,gnetum,4
ndoki,5313,2018,firewood,6
ndoki,5313,2018,bushmeat,0
ndoki,5313,2018,marantaceas,6
ndoki,5313,2018,liana,1
ndoki,5314,2018,bushmeat,1
ndoki,5314,2018,gnetum,1
ndoki,5314,2018,liana,0
ndoki,5314,2018,marantaceas,0
ndoki,5314,2018,firewood,2
ndoki,5315,2018,bushmeat,1
ndoki,5315,2018,firewood,3
ndoki,5315,2018,marantaceas,0
ndoki,5315,2018,liana,0
ndoki,5315,2018,gnetum,1
ndoki,5316,2018,liana,0
ndoki,5316,2018,gnetum,1
ndoki,5316,2018,marantaceas,0
ndoki,5316,2018,bushmeat,1
ndoki,5316,2018,firewood,2
ndoki,5317,2018,firewood,3
ndoki,5317,2018,gnetum,0
ndoki,5317,2018,liana,0
ndoki,5317,2018,marantaceas,0
ndoki,5317,2018,bushmeat,1
ndoki,5318,2018,marantaceas,0
ndoki,5318,2018,liana,1
ndoki,5318,2018,gnetum,1
ndoki,5318,2018,bushmeat,0
ndoki,5318,2018,firewood,4
ndoki,5319,2018,liana,0
ndoki,5319,2018,gnetum,5
ndoki,5319,2018,marantaceas,1
ndoki,5319,2018,firewood,6
ndoki,5319,2018,bushmeat,0
ndoki,5320,2018,liana,0
ndoki,5320,2018,bushmeat,0
ndoki,5320,2018,firewood,4
ndoki,5320,2018,gnetum,1
ndoki,5320,2018,marantaceas,0
ndoki,5321,2018,gnetum,3
ndoki,5321,2018,firewood,6
ndoki,5321,2018,bushmeat,0
