landscape,surveyyear,id,gs,necessary,have,quantity,price
ndoki,2018,5206,table chairs,0,0,0,null
ndoki,2018,5206,lance,1,1,1,null
ndoki,2018,5206,sport ground,1,1,0,null
ndoki,2018,5206,gun,1,0,0,null
ndoki,2018,5206,jerrycan 25l,1,1,1,null
ndoki,2018,5206,freezer,0,0,0,null
ndoki,2018,5206,drinking water 15min,0,1,0,null
ndoki,2018,5206,work without discrimination,1,1,0,null
ndoki,2018,5206,tv,0,0,0,null
ndoki,2018,5206,money school,0,0,0,null
ndoki,2018,5206,sheep breeding,0,0,0,null
ndoki,2018,5206,fishing net,0,0,0,null
ndoki,2018,5206,field half ha,1,1,2,null
ndoki,2018,5206,moto,0,0,0,null
ndoki,2018,5206,hurricane lamp,1,1,2,null
ndoki,2018,5206,cookstove,0,0,0,null
ndoki,2018,5206,canoe,1,0,0,null
ndoki,2018,5206,jewelry,0,0,0,null
ndoki,2018,5206,women care provided women,1,1,0,null
ndoki,2018,5206,hairdresser,0,0,0,null
ndoki,2018,5206,machete,1,1,2,null
ndoki,2018,5206,chicken,0,0,0,null
ndoki,2018,5206,generator,0,0,0,null
ndoki,2018,5206,equipped pharmacy village,1,0,0,null
ndoki,2018,5206,sewing machine,0,0,0,null
ndoki,2018,5206,new clothes,1,0,0,null
ndoki,2018,5206,bed and mattress,1,0,0,null
ndoki,2018,5206,meal 2 day,1,0,0,null
ndoki,2018,5206,brick house metal roof,0,0,0,null
ndoki,2018,5206,natural resources 1h,1,1,0,null
ndoki,2018,5206,adult learning,0,0,0,null
ndoki,2018,5206,phone,0,0,0,null
ndoki,2018,5206,access employment,0,0,0,null
ndoki,2018,5207,canoe,1,1,2,null
ndoki,2018,5207,fishing net,1,1,8,null
ndoki,2018,5207,hurricane lamp,1,1,1,null
ndoki,2018,5207,sewing machine,0,0,0,null
ndoki,2018,5207,mosquito net,1,1,4,null
ndoki,2018,5207,jerrycan 25l,1,1,2,null
ndoki,2018,5207,women care provided women,1,0,0,null
ndoki,2018,5207,adult learning,1,0,0,null
ndoki,2018,5207,natural resources 1h,1,1,0,null
ndoki,2018,5207,sheep breeding,1,0,0,null
ndoki,2018,5207,chicken,1,1,7,null
ndoki,2018,5207,bed and mattress,1,1,4,null
ndoki,2018,5207,cookstove,0,0,0,null
ndoki,2018,5207,work without discrimination,1,1,0,null
ndoki,2018,5207,jewelry,1,1,2,null
ndoki,2018,5207,moto,0,0,0,null
ndoki,2018,5207,brick house metal roof,0,0,0,null
ndoki,2018,5207,pot,1,1,5,null
ndoki,2018,5207,tv,1,0,0,null
ndoki,2018,5207,drinking water 15min,1,0,0,null
ndoki,2018,5207,gun,1,0,0,null
ndoki,2018,5207,new clothes,1,1,0,null
ndoki,2018,5207,phone,0,0,0,null
ndoki,2018,5207,women decision village,1,1,0,null
ndoki,2018,5207,table chairs,1,1,1,null
ndoki,2018,5207,lance,1,1,3,null
ndoki,2018,5207,access employment,1,0,0,null
ndoki,2018,5207,field half ha,1,1,5,null
ndoki,2018,5207,sport ground,1,1,0,null
ndoki,2018,5207,protein once week,1,1,0,null
ndoki,2018,5207,generator,1,0,0,null
